,Criteris d'acceptació de les històries d'usuari,,,,,,,,
,,,,,,,,,
,Producte/Projecte,,LineUp,,,,,,
,,,,,,,,,
,Release,,Versió o release del producte,,,,,,
,,,,,,,,,
,,Enunciat de la Història,,,,Criteris d'acceptació,,,
,Identificador (ID) de la Història,Rol,Característica / Funcionalitat,Raó / Resultat,Nombre (#) d'Escenari,Criteri d'acceptació (Títol),Context (Given),Esdeveniment (When),Comportament esperat (Then)
,US001,"As a customer, I want to be able to cancel my queue booking if I decide to not buy in that shop.",Cancel a place in the queue via the app,Avoid waiting time to the workers.,1,A confirmation is needed to cancel a reserved place.,Given a customer with an active queue booking.,When the customer presses the “Cancel booking” button.,"Then the system shows a page, where the customer need to press a button of confirmation."
,,,,,2,Cancelation is successful,Given a customer with an active queue booking.,"When the customer presses the “Cancel booking” button, and confirms it decision.","Then the system shows the list of actives queues, without the canceled queue."
,,,,,,,,,
,US002,"As a customer, I want to reserve a place in a queue remotely so that I don’t have to wait physically.",Reserve a place in the queue via the app,Avoid waiting physically,1,The customer can join a queue remotely.,Given a customer viewing a shop queue.,When the customer presses the “Join queue” button.,Then the system assigns a queue position and shows a confirmation message.
,,,,,,,,,
,US003,"As a customer, I want to see my position in the queues I'm in, to manage correctly my time and route.",View queue position,To manage their time and route efficiently,1,Queue position is loaded,In case the user is registered in a queue,"When the customer presses the concrete queue button, to access its information.",The system will display the user’s current position in the queue
,,,,,2,Multiple queues are displayed,In case the user is registered in multiple queues,When the customer presses the “Actives queue” button.,The system will display all queues with their positions and estimated time
,,,,,,,,,
,US004,"As a customer, I want to receive confirmation to know I've successfully joined a queue.",Receive a confirmation message after joining a queue,To be sure that the reservation has been completed successfully,1,A confirmation message is shown after joining the queue,Given the user has selected a shop with an active queue,When the user presses the “Join queue” button and the reservation is completed successfully,Then the system displays a confirmation message indicating that the user has successfully joined the queue
,,,,,2,The confirmation includes the user’s queue information,Given the user has successfully joined the queue,When the confirmation message is shown,Then the system displays the assigned queue position and the selected shop information
,,,,,,,,,
,US005,"As a customer, I want to see the estimated waiting time on my queues to not waste time.",View the estimated waiting time of the queue,To better organize my time and know how long I will probably have to wait,1,The estimated waiting time is displayed to the user,Given the user has joined an active queue,When the user opens the queue information or tracking screen,Then the system displays the estimated waiting time for that queue
,,,,,2,The estimated waiting time is updated when the queue changes,Given the user is viewing an active queue and the estimated waiting time is already displayed,When the queue advances or its status changes,Then the system updates the estimated waiting time automatically
,,,,,,,,,
,US006,"As a user, I want to see a map with all shops and their queues so that I can choose where to go.",Real-time map with shop queues.,Customer can choose where to go,1,The map shows all available shops.,Given a user opens the map section.,When the map finishes loading.,Then the system displays all available shops on the map.
,,,,,2,"The system informs when the map cannot load.
",Given the map service is unavailable.,When the user opens the map section.,Then the system shows an error message indicating that the map could not be loaded.
,,,,,,,,,
,US007,"As a customer, I want to see the update on my queues in real time.",Real-time queue updates,To manage time efficiently and react to changes,1,Queue updates are displayed in real time,In case the user is registered in a queue,"When the customer presses the concrete queue button, to access its information.",The system will update and display the user’s queue position automatically in real time
,,,,,2,Update triggered by queue changes,In case another user advances or leaves the queue,"When the customer presses the concrete queue button, to access its information.",The system will instantly reflect the new position without requiring user interaction
,,,,,,,,,
,US008,"As a customer, I want to receive an advice when my turn is near",Receive turn notification ,To know when it is time to  go to the shop without waiting a line,1,The notifications are turned on and received when is the clients turn,In case the user is registered in a queue,The user’s turn is ready,The system will send a notification to inform the user that it is their turn
,,,,,2,Notification before the clients turn,In case the user is close to their turn,"The queue reaches the previous positions, and it's closed to users' turns",The system will send an alert advising the user to approach the shop
,,,,,,,,,
,US009,"As a user with low technical skills, I want a simple interface so that I can use the app easily.",Simple interface,So that the use of the app easy,1,The main actions are clearly visible,Given a user with low technical skills opens the app,When the home screen is displayed,Then the system shows the main actions with clear labels and simple navigation.
,,,,,2,The user can complete a basic action without confusion,Given a user with low technical skills is on the app,When the user wants to join a queue,Then the system guides the user with clear steps and understandable messages
,,,,,,,,,
,US010,"As a blind user, I want vibration notifications so that I know when it’s my turn.",Vibration notifications,To know their turn,1,The system vibrates when it is the user’s turn,Given a blind user is waiting in a queue,When it becomes the user’s turn,Then the system sends a vibration notification
,,,,,2,The user can enable vibration notifications,Given a blind user is in the accessibility settings,When the user enables vibration notifications,Then the system saves the preference and activates vibration alerts
,,,,,,,,,
,US011,"As a shop owner, I want to manage queue turns and timing so that I can organize my service better.
",Manage queue turns and timing,To organize service efficiently,1,Queue turns can be advanced,In case the shop owner is managing an active queue,The shop owner selects the next customer,The system will advance the queue and update the current turn
,,,,,2,Customers can be removed,In case a customer leaves or needs to be removed,The shop owner removes the customer from the queue,The system will update the queue and adjust positions accordingly
,,,,,,,,,
,US012,"As a shop owner, I want to see daily stats about queues so that I can optimize operations.
",Be informed by daily stats about queues,To optimize operations,1,The shop owner can see daily queue statistics,Given a shop owner opens the statistics section,When the daily statistics are loaded,"Then the system displays the number of customers served, average waiting time, and peak queue times"
,,,,,2,The shop owner can filter stats by day,Given a shop owner is viewing queue statistics,When the shop owner selects a specific day,Then the system displays the queue statistics for that selected day
,,,,,,,,,
,US013,"As a shop owner, I want to verify customer arrival so that the queue remains accurate.",Verify customer arrival,So that the queue remains accurate,1,The system removes customers who do not arrive,Given a customer does not arrive within the allowed time,When the shop owner marks the customer as not arrived,Then the system removes the customer from the queue
,,,,,2,The queue updates after arrival verification,Given the shop owner verifies a customer’s arrival,When the verification is completed,Then the system updates the queue order automatically
